REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1129.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,754.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,916.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1115.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1295.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,903.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1120.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1263.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,754.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,916.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1115.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1377.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,757.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,921.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1117.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1406.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
