REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Grand Falls-Windsor, Newfoundland and Labrador",2011S0504010,Apartment structures of six units and over,Two bedroom units,v3824930,4.4.3,684.0,Grand Falls-Windsor,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Row and apartment structures of three units and over,Bachelor units,v3822830,6.3.1,611.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Row and apartment structures of three units and over,One bedroom units,v3822964,6.3.2,696.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Row and apartment structures of three units and over,Two bedroom units,v3823098,6.3.3,796.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Row and apartment structures of three units and over,Three bedroom units,v3823232,6.3.4,895.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Row structures of three units and over,One bedroom units,v3823500,6.2.2,519.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Row structures of three units and over,Two bedroom units,v3823634,6.2.3,748.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of three units and over,Bachelor units,v3823902,6.1.1,611.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of three units and over,One bedroom units,v3824036,6.1.2,709.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of three units and over,Two bedroom units,v3824170,6.1.3,798.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of three units and over,Three bedroom units,v3824304,6.1.4,854.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of six units and over,Bachelor units,v3824438,6.4.1,627.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of six units and over,One bedroom units,v3824626,6.4.2,716.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of six units and over,Two bedroom units,v3824814,6.4.3,803.0,St. John's,Newfoundland and Labrador
2012,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of six units and over,Three bedroom units,v3825002,6.4.4,844.0,St. John's,Newfoundland and Labrador
